SLCPD,1
De’Von,1
Bailey,1
Trespasser,1
Lethal,1
65-year-old,1
Sign,1
80,1
Ticket,1
Bird,1
Poop,1
Samantha,1
Gilbert,2
Pleading,1
Lodi,1
Hanging,1
Walnut,1
Creek,3
Takedown,5
Routine,2
Medical,1
Escalates,1
Chain,2
Chomping,1
Grand,4
Okolona,1
Raw,25
Kansas,2
Oroville,1
Memphis,1
Huger,1
Spits,1
Oak,1
Ridge,1
Instagram,1
Livestream,1
Kitten,1
Tree,3
Florence,1
Year's,1
Eve,1
Rapper,1
Zoe,1
“Gangstalicious,1
FOP,1
Lodge,1
Massive,1
Explosion,2
Calls,1
14-Year-Old,1
Roll,1
Punch,2
Rooftop,1
Tense,2
SLC,1
Muskogee,1
Tontitown,1
WSU,1
Player's,1
Counterfeit,1
Incident,3
Struggling,1
Slamming,2
OHP,1
7,2
Swatting,1
⚠(Volume,1
Warning,2
Thirsty,1
Burglar,1
Bull,5
PSU,1
Jason,1
Campus,2
bitten,1
Sues,4
MCSO,1
Torture,1
Omar,1
Perez,1
Detain,1
Riding,1
Grandma,1
Thinking,1
Breaking,1
Raising,1
Harith,1
Augustus,1
Dashcam/Bodycam,7
Moines,2
Racial,2
Profiling,2
Chokehold,1
Armando,1
Frank,1
Crossing,1
Dead,2
Rolls,2
Meridian,1
Maurice,1
Granton,1
10-year-old,1
Restrained,1
Coin,1
Flip,1
Decide,1
Whether,1
or,1
Confronts,1
Reporters,1
Seeking,1
Interview,1
Rape,3
Casselberry,1
Volume,1
Later,1
Mocking,2
Quarter,1
Monkey,1
Surveillance,3
Sprayed,1
Wildwood,1
Jesse,1
Romero,1
Champaign,1
Alton,1
Corey,1
Bust,2
Ledge,1
Overdosing,1
Narcan,1
Herbert,1
Authority,1
Commissioner,1
Telling,1
You,1
may,1
shut,1
f,1
up,1
Elijah,1
Smith,2
Pipe-Wielding,1
University,1
Barbershop,1
Volunteer,1
OKC,2
Patient,2
Impersonating,1
Indicted,1
Woman's,1
Roadway,1
Mobile,1
Cypress,1
Costco,1
Right,1
SF,1
Cuffed,1
Schoolboy,1
Split,1
Fulton,1
BART,2
Shaleem,1
Tindle,1
2/19/2018,1
Perform,1
Smashed,1
Taco,1
Bell,1
Successfully,2
Talks,1
Involved,4
Wrongfully,2
Jump,2
Escambia,1
Scuffle,1
Broken,1
Hold,1
Firefighters,1
Frozen,1
Siccing,1
Apologizes,1
Bodycams,1
Small,1
Plane,1
UGA,1
Snapchatting,1
Pueblo,1
Mistakes,1
Flagstaff,2
Graphic,1
Patrick,1
Harmon,1
Mistakenly,1
Actor,1
Movie,1
Stops,1
Records,1
ill,1
Groin,1
Tackling,1
It,1
Nurse,1
Allowing,1
Blood,1
Draw,1
Crossfire,1
Joins,2
Dancing,1
Alone,1
NFL,1
Player,1
Canal,1
Planting,1
Proposing,1
Dundalk,1
Rottweiler,1
Philando,1
Castile,1
Depot,1
Buckeye,1
Physical,1
Syndrome,1
Puppy,2
Mitchell,2
Mullins,1
Started,1
Cries,1
Mommy,1
Shatters,1
Give,1
ID,1
Unusual,1
Strangling,1
Puppies,1
Escaped,2
inmate,1
Stun,1
Girl,3
Acquitted,1
Shively,1
Shouting,1
Threats,1
Melbourne,1
Jaywalking,1
Lubbock,3
Private,1
investigator,1
Awarded,1
1.3,1
Million,1
Lawsuit,4
Bellingham,1
Wallet,2
Dangerous,2
Juggles,1
Prove,1
Sobriety,1
Makeup,1
Tells,1
I'm,1
Allowed,1
Civilians,1
Roswell,1
Alamogordo,1
Fiery,2
Taking,1
Pretending,1
Have,1
EMT,1
Path,1
Parts,1
Money,1
Rodney,1
Rodriguez,2
FedEx,1
Abdi,1
Mohamed,1
Overdose,1
Basketball,1
Sean,1
Moore,1
Abuse,1
Suggests,1
Log,1
Tie,2
Prisoner,1
Harrowing,1
Pitbull,1
its,1
Owner,1
Lavonia,1
Dangers,1
ATV,1
Correction,1
Boyfriend,1
Noel,1
